"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","87.248.119.251","10.122.1.223","TCP","66","443  >  35627 [ACK] Seq=1 Ack=1 Win=5 Len=0 SLE=0 SRE=1"
"2","0.006503","2a04:4e42:400::300","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","86","443  >  35862 [ACK] Seq=1 Ack=1 Win=278 Len=0 SLE=0 SRE=1"
"3","0.102498","2a04:4e42:400::300","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","86","443  >  35857 [ACK] Seq=1 Ack=1 Win=297 Len=0 SLE=0 SRE=1"
"4","0.105345","10.122.1.223","18.64.141.12","TCP","55","35895  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"5","0.142809","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","1414","36195  >  443 [ACK] Seq=1 Ack=1 Win=2070 Len=1340 [TCP PDU reassembled in 6]"
"6","0.142809","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TLSv1.2","1026","Application Data"
"7","0.143327","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","1414","36195  >  443 [ACK] Seq=2293 Ack=1 Win=2070 Len=1340 [TCP PDU reassembled in 8]"
"8","0.143327","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TLSv1.2","609","Application Data"
"9","0.173547","18.64.141.12","10.122.1.223","TCP","66","443  >  35895 [ACK] Seq=1 Ack=2 Win=145 Len=0 SLE=1 SRE=2"
"10","0.337225","10.122.1.223","35.212.104.44","TCP","55","35805  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"11","0.415562","10.122.1.223","172.240.45.96","TCP","55","35908  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1"
"12","0.431355","10.122.1.223","172.240.45.96","TCP","55","35891  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"13","0.558521","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","74","443  >  36195 [ACK] Seq=1 Ack=2293 Win=811 Len=0"
"14","0.558521","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","74","443  >  36195 [ACK] Seq=1 Ack=4168 Win=804 Len=0"
"15","0.583056","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","949","Application Data"
"16","0.583056","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","99","Application Data"
"17","0.583056","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","625","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"18","0.583056","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","1294","Application Data, Application Data, Application Data"
"19","0.583056","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=2672 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 36]"
"20","0.583317","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=4168 Ack=3892 Win=2072 Len=0"
"21","0.584001","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=3892 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 36]"
"22","0.584001","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [PSH, ACK] Seq=5112 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 36]"
"23","0.584001","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=6332 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 36]"
"24","0.584001","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=7552 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 36]"
"25","0.584001","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=8772 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 36]"
"26","0.584001","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [PSH, ACK] Seq=9992 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 36]"
"27","0.584001","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","[TCP Previous segment not captured] 443  >  36195 [ACK] Seq=12432 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 36]"
"28","0.584001","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","[TCP Out-Of-Order] 443  >  36195 [ACK] Seq=11212 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 36]"
"29","0.584001","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=13652 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 36]"
"30","0.584235","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","86","36195  >  443 [ACK] Seq=4168 Ack=11212 Win=2072 Len=0 SLE=12432 SRE=13652"
"31","0.584429","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=4168 Ack=13652 Win=2072 Len=0"
"32","0.584575","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=4168 Ack=14872 Win=2068 Len=0"
"33","0.586993","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [PSH, ACK] Seq=14872 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 36]"
"34","0.586993","35.212.104.44","10.122.1.223","TCP","66","443  >  35805 [ACK] Seq=1 Ack=2 Win=1085 Len=0 SLE=1 SRE=2"
"35","0.586993","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=16092 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 36]"
"36","0.586993","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","1294","Application Data"
"37","0.586993","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=18532 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 42]"
"38","0.586993","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [PSH, ACK] Seq=19752 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 42]"
"39","0.586993","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=20972 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 42]"
"40","0.586993","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=22192 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 42]"
"41","0.586993","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=23412 Ack=4168 Win=804 Len=1220 [TCP PDU reassembled in 42]"
"42","0.586993","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","680","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"43","0.587283","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=4168 Ack=25238 Win=2072 Len=0"
"44","0.677527","172.240.45.96","10.122.1.223","TCP","66","443  >  35908 [ACK] Seq=1 Ack=2 Win=70 Len=0 SLE=1 SRE=2"
"45","0.690743","172.240.45.96","10.122.1.223","TCP","66","443  >  35891 [ACK] Seq=1 Ack=2 Win=72 Len=0 SLE=1 SRE=2"
"46","0.860149","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","1414","36195  >  443 [ACK] Seq=4168 Ack=25238 Win=2072 Len=1340 [TCP PDU reassembled in 47]"
