"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.167.7.43","192.167.7.45","ICMP","98","Echo (ping) request  id=0x35a7, seq=119/30464, ttl=64 (no response found!)"
"2","0.160909","192.167.7.43","192.167.7.45","UDP","162","8130  >  12345 Len=120"
"3","1.024022","192.167.7.43","192.167.7.45","ICMP","98","Echo (ping) request  id=0x35a7, seq=120/30720, ttl=64 (no response found!)"
"4","1.161161","192.167.7.43","192.167.7.45","UDP","162","8131  >  12345 Len=120"
"5","2.048007","192.167.7.43","192.167.7.45","ICMP","98","Echo (ping) request  id=0x35a7, seq=121/30976, ttl=64 (no response found!)"
"6","2.058021","192.167.7.43","172.217.1.110","TLSv1.2","992","Application Data"
"7","2.060143","192.167.7.43","172.217.4.194","TLSv1.2","859","Application Data"
"8","2.065574","172.217.1.110","192.167.7.43","TCP","60","443  >  50536 [ACK] Seq=1 Ack=939 Win=1045 Len=0"
"9","2.067727","172.217.4.194","192.167.7.43","TCP","60","443  >  50528 [ACK] Seq=1 Ack=806 Win=331 Len=0"
"10","2.078275","172.217.1.110","192.167.7.43","TLSv1.2","124","Application Data"
"11","2.083778","172.217.1.110","192.167.7.43","TLSv1.2","127","Application Data"
"12","2.083790","172.217.1.110","192.167.7.43","TLSv1.2","85","Application Data"
"13","2.083793","172.217.4.194","192.167.7.43","TLSv1.2","124","Application Data"
"14","2.083796","172.217.4.194","192.167.7.43","TLSv1.2","127","Application Data"
"15","2.083798","172.217.4.194","192.167.7.43","TLSv1.2","85","Application Data"
"16","2.083800","172.217.4.194","192.167.7.43","TLSv1.2","93","Application Data"
"17","2.083819","172.217.1.110","192.167.7.43","TLSv1.2","93","Application Data"
"18","2.084150","192.167.7.43","172.217.1.110","TCP","54","50536  >  443 [ACK] Seq=939 Ack=214 Win=2659 Len=0"
"19","2.084180","192.167.7.43","172.217.1.110","TLSv1.2","93","Application Data"
"20","2.084197","192.167.7.43","172.217.4.194","TCP","54","50528  >  443 [ACK] Seq=806 Ack=214 Win=501 Len=0"
"21","2.084213","192.167.7.43","172.217.4.194","TLSv1.2","93","Application Data"
"22","2.097058","172.217.1.110","192.167.7.43","TCP","60","443  >  50536 [ACK] Seq=214 Ack=978 Win=1045 Len=0"
"23","2.098632","172.217.4.194","192.167.7.43","TCP","60","443  >  50528 [ACK] Seq=214 Ack=845 Win=331 Len=0"
"24","2.136239","192.167.7.43","142.250.191.98","TLSv1.2","909","Application Data"
"25","2.150219","142.250.191.98","192.167.7.43","TCP","60","443  >  49018 [ACK] Seq=1 Ack=856 Win=395 Len=0"
"26","2.161272","192.167.7.43","192.167.7.45","UDP","162","8132  >  12345 Len=120"
"27","2.164829","142.250.191.98","192.167.7.43","TLSv1.2","123","Application Data"
"28","2.164848","142.250.191.98","192.167.7.43","TLSv1.2","127","Application Data"
"29","2.164853","142.250.191.98","192.167.7.43","TLSv1.2","85","Application Data"
"30","2.164856","142.250.191.98","192.167.7.43","TLSv1.2","93","Application Data"
"31","2.165235","192.167.7.43","142.250.191.98","TCP","54","49018  >  443 [ACK] Seq=856 Ack=213 Win=501 Len=0"
"32","2.165277","192.167.7.43","142.250.191.98","TLSv1.2","93","Application Data"
"33","2.184737","142.250.191.98","192.167.7.43","TCP","60","443  >  49018 [ACK] Seq=213 Ack=895 Win=395 Len=0"
"34","2.284140","192.167.7.43","192.232.16.79","TLSv1.2","1776","Application Data"
"35","2.292304","192.232.16.79","192.167.7.43","TCP","60","443  >  56616 [ACK] Seq=1 Ack=1723 Win=413 Len=0"
"36","2.293332","192.232.16.79","192.167.7.43","TLSv1.2","1514","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"37","2.293344","192.167.7.43","192.232.16.79","TCP","54","56616  >  443 [ACK] Seq=1723 Ack=1461 Win=24568 Len=0"
"38","2.293382","192.232.16.79","192.167.7.43","TCP","1514","443  >  56616 [ACK] Seq=1461 Ack=1723 Win=413 Len=1460 [TCP segment of a reassembled PDU]"
"39","2.293396","192.167.7.43","192.232.16.79","TCP","54","56616  >  443 [ACK] Seq=1723 Ack=2921 Win=24559 Len=0"
"40","2.293399","192.232.16.79","192.167.7.43","TCP","1514","443  >  56616 [ACK] Seq=2921 Ack=1723 Win=413 Len=1460 [TCP segment of a reassembled PDU]"
"41","2.293404","192.167.7.43","192.232.16.79","TCP","54","56616  >  443 [ACK] Seq=1723 Ack=4381 Win=24551 Len=0"
"42","2.293411","192.232.16.79","192.167.7.43","TCP","1514","443  >  56616 [ACK] Seq=4381 Ack=1723 Win=413 Len=1460 [TCP segment of a reassembled PDU]"
"43","2.293414","192.167.7.43","192.232.16.79","TCP","54","56616  >  443 [ACK] Seq=1723 Ack=5841 Win=24542 Len=0"
"44","2.293418","192.232.16.79","192.167.7.43","TCP","1514","443  >  56616 [ACK] Seq=5841 Ack=1723 Win=413 Len=1460 [TCP segment of a reassembled PDU]"
"45","2.293421","192.167.7.43","192.232.16.79","TCP","54","56616  >  443 [ACK] Seq=1723 Ack=7301 Win=24534 Len=0"
"46","2.293423","192.232.16.79","192.167.7.43","TCP","1514","443  >  56616 [ACK] Seq=7301 Ack=1723 Win=413 Len=1460 [TCP segment of a reassembled PDU]"
"47","2.293427","192.167.7.43","192.232.16.79","TCP","54","56616  >  443 [ACK] Seq=1723 Ack=8761 Win=24525 Len=0"
